"Date";"Days from today";"ETU caseload";"Nurses and paramedics";"Hygienists and nurses aids";"Doctors";"Support staff";"Total"
"2014-12-21";"40";" 688 (   19,  1357)";" 344 (    9,   679)";" 344 (    9,   679)";" 69 (   2,  136)";" 688 (   19,  1357)";" 1445 (  623,  2267)"
"2014-12-20";"39";" 677 (   25,  1329)";" 338 (   12,   664)";" 338 (   12,   664)";" 68 (   3,  133)";" 677 (   25,  1329)";" 1421 (  620,  2222)"
"2014-12-19";"38";" 666 (   32,  1300)";" 333 (   16,   650)";" 333 (   16,   650)";" 67 (   4,  130)";" 666 (   32,  1300)";" 1399 (  619,  2179)"
"2014-12-18";"37";" 655 (   37,  1273)";" 328 (   19,   637)";" 328 (   19,   637)";" 66 (   4,  128)";" 655 (   37,  1273)";" 1377 (  618,  2136)"
"2014-12-17";"36";" 644 (   43,  1245)";" 322 (   21,   623)";" 322 (   21,   623)";" 64 (   4,  124)";" 644 (   43,  1245)";" 1352 (  613,  2091)"
"2014-12-16";"35";" 633 (   48,  1218)";" 316 (   23,   609)";" 316 (   23,   609)";" 63 (   4,  122)";" 633 (   48,  1218)";" 1328 (  609,  2047)"
"2014-12-15";"34";" 623 (   53,  1193)";" 312 (   27,   597)";" 312 (   27,   597)";" 62 (   5,  119)";" 623 (   53,  1193)";" 1309 (  609,  2009)"
"2014-12-14";"33";" 613 (   59,  1167)";" 306 (   29,   583)";" 306 (   29,   583)";" 61 (   6,  116)";" 613 (   59,  1167)";" 1286 (  605,  1967)"
"2014-12-13";"32";" 603 (   63,  1143)";" 302 (   32,   572)";" 302 (   32,   572)";" 60 (   6,  114)";" 603 (   63,  1143)";" 1267 (  604,  1930)"
"2014-12-12";"31";" 593 (   68,  1118)";" 296 (   33,   559)";" 296 (   33,   559)";" 59 (   6,  112)";" 593 (   68,  1118)";" 1244 (  599,  1889)"
"2014-12-11";"30";" 584 (   73,  1095)";" 292 (   36,   548)";" 292 (   36,   548)";" 58 (   7,  109)";" 584 (   73,  1095)";" 1226 (  598,  1854)"
"2014-12-10";"29";" 574 (   77,  1071)";" 287 (   38,   536)";" 287 (   38,   536)";" 57 (   7,  107)";" 574 (   77,  1071)";" 1205 (  594,  1816)"
"2014-12-09";"28";" 565 (   81,  1049)";" 282 (   40,   524)";" 282 (   40,   524)";" 56 (   8,  104)";" 565 (   81,  1049)";" 1185 (  590,  1780)"
"2014-12-08";"27";" 556 (   85,  1027)";" 278 (   43,   513)";" 278 (   43,   513)";" 56 (   9,  103)";" 556 (   85,  1027)";" 1168 (  589,  1747)"
"2014-12-07";"26";" 547 (   89,  1005)";" 274 (   45,   503)";" 274 (   45,   503)";" 55 (   9,  101)";" 547 (   89,  1005)";" 1150 (  587,  1713)"
"2014-12-06";"25";" 538 (   92,   984)";" 269 (   46,   492)";" 269 (   46,   492)";" 54 (   9,   99)";" 538 (   92,   984)";" 1130 (  582,  1678)"
"2014-12-05";"24";" 529 (   96,   962)";" 264 (   47,   481)";" 264 (   47,   481)";" 53 (  10,   96)";" 529 (   96,   962)";" 1110 (  577,  1643)"
"2014-12-04";"23";" 521 (   99,   943)";" 260 (   49,   471)";" 260 (   49,   471)";" 52 (  10,   94)";" 521 (   99,   943)";" 1093 (  575,  1611)"
"2014-12-03";"22";" 512 (  102,   922)";" 256 (   51,   461)";" 256 (   51,   461)";" 51 (  10,   92)";" 512 (  102,   922)";" 1075 (  571,  1579)"
