"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (corrected for underreporting)";"New daily cases (corrected for underreporting)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"Beds for CDC target of 25% cases in ETC";"Beds for CDC target of 45% cases in reduced transmission";"Reporting (treatment) quotient"
"2015-03-07";"96";"22239 (16951, 27528)";"  215 (  107,   323)";"106739 ( 78966, 134512)";"  1021 (   481,   1561)";"11690 (5491, 17889)";" 8526 (4237, 12815)";"1795 (942, 2647)";"2580 (1487, 3674)";"4644 (2677,  6612)";"40%"
"2015-03-06";"95";"22024 (16844, 27205)";"  213 (  107,   320)";"105718 ( 78484, 132951)";"  1014 (   481,   1546)";"11600 (5486, 17714)";" 8460 (4232, 12689)";"1781 (941, 2621)";"2560 (1483, 3638)";"4609 (2669,  6548)";"40%"
"2015-03-05";"94";"21811 (16736, 26886)";"  212 (  107,   316)";"104704 ( 78002, 131406)";"  1006 (   480,   1531)";"11510 (5480, 17540)";" 8395 (4227, 12563)";"1767 (940, 2595)";"2541 (1478, 3603)";"4573 (2661,  6485)";"40%"
"2015-03-04";"93";"21599 (16629, 26569)";"  210 (  107,   313)";"103698 ( 77521, 129875)";"   998 (   480,   1516)";"11421 (5475, 17368)";" 8330 (4222, 12438)";"1753 (938, 2569)";"2521 (1474, 3568)";"4538 (2653,  6422)";"40%"
"2015-03-03";"92";"21389 (16522, 26256)";"  208 (  107,   310)";"102700 ( 77040, 128360)";"   990 (   479,   1501)";"11333 (5469, 17197)";" 8266 (4217, 12315)";"1740 (937, 2543)";"2501 (1469, 3533)";"4503 (2645,  6360)";"40%"
"2015-03-02";"91";"21181 (16415, 25946)";"  207 (  107,   307)";"101710 ( 76560, 126859)";"   983 (   479,   1486)";"11246 (5463, 17028)";" 8202 (4212, 12192)";"1726 (935, 2517)";"2482 (1465, 3499)";"4468 (2637,  6298)";"40%"
"2015-03-01";"90";"20974 (16309, 25639)";"  205 (  106,   304)";"100727 ( 76081, 125374)";"   975 (   478,   1472)";"11159 (5457, 16861)";" 8139 (4206, 12071)";"1713 (934, 2492)";"2463 (1461, 3465)";"4433 (2629,  6237)";"40%"
"2015-02-28";"89";"20769 (16202, 25335)";"  204 (  106,   301)";" 99752 ( 75602, 123902)";"   968 (   478,   1457)";"11073 (5451, 16694)";" 8076 (4201, 11951)";"1700 (933, 2467)";"2444 (1456, 3431)";"4399 (2621,  6176)";"40%"
"2015-02-27";"88";"20565 (16096, 25034)";"  202 (  106,   298)";" 98785 ( 75123, 122446)";"   960 (   477,   1443)";"10987 (5445, 16530)";" 8013 (4195, 11831)";"1687 (931, 2442)";"2425 (1452, 3398)";"4365 (2613,  6116)";"40%"
"2015-02-26";"87";"20363 (15990, 24736)";"  201 (  106,   295)";" 97825 ( 74645, 121004)";"   953 (   477,   1429)";"10902 (5439, 16366)";" 7951 (4189, 11713)";"1674 (930, 2417)";"2406 (1447, 3365)";"4331 (2605,  6057)";"40%"
"2015-02-25";"86";"20162 (15883, 24441)";"  199 (  106,   292)";" 96872 ( 74168, 119576)";"   945 (   476,   1414)";"10818 (5432, 16204)";" 7890 (4183, 11596)";"1661 (928, 2393)";"2388 (1443, 3332)";"4298 (2598,  5998)";"40%"
