"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-02-13";"93";"10140 ( -2681,  22961)";"186 ( -218,  591)";" 52291 ( -20817, 125399)";" 980 ( -1300,  3260)";"11287 ( -15093,  37667)";" 7433 ( -8793,  23660)";"1415 ( -1461,  4292)";" 2212 ( -1908,  6332)";" 3982 ( -3434, 11398)";"40%"
"2015-02-12";"92";" 9954 ( -2466,  22373)";"182 ( -210,  575)";" 51311 ( -19533, 122156)";" 960 ( -1253,  3172)";"11054 ( -14551,  36659)";" 7281 ( -8464,  23027)";"1387 ( -1404,  4177)";" 2167 ( -1831,  6165)";" 3901 ( -3295, 11097)";"40%"
"2015-02-11";"91";" 9771 ( -2258,  21800)";"179 ( -202,  560)";" 50352 ( -18296, 119000)";" 940 ( -1208,  3087)";"10826 ( -14026,  35677)";" 7133 ( -8146,  22411)";"1359 ( -1348,  4066)";" 2123 ( -1756,  6002)";" 3821 ( -3161, 10804)";"40%"
"2015-02-10";"90";" 9592 ( -2059,  21243)";"175 ( -195,  545)";" 49412 ( -17104, 115928)";" 920 ( -1164,  3005)";"10602 ( -13517,  34722)";" 6987 ( -7838,  21813)";"1331 ( -1295,  3958)";" 2080 ( -1684,  5844)";" 3743 ( -3032, 10519)";"40%"
"2015-02-09";"89";" 9417 ( -1867,  20701)";"172 ( -187,  530)";" 48492 ( -15956, 112939)";" 901 ( -1121,  2924)";"10384 ( -13024,  33792)";" 6845 ( -7540,  21230)";"1305 ( -1243,  3852)";" 2037 ( -1615,  5690)";" 3667 ( -2907, 10241)";"40%"
"2015-02-08";"88";" 9246 ( -1682,  20174)";"168 ( -180,  516)";" 47590 ( -14849, 110029)";" 883 ( -1080,  2846)";"10171 ( -12546,  32887)";" 6706 ( -7252,  20663)";"1278 ( -1193,  3750)";" 1996 ( -1548,  5540)";" 3593 ( -2786,  9971)";"40%"
"2015-02-07";"87";" 9078 ( -1505,  19660)";"165 ( -173,  502)";" 46707 ( -13784, 107198)";" 865 ( -1040,  2770)";" 9962 ( -12083,  32007)";" 6569 ( -6972,  20111)";"1253 ( -1145,  3650)";" 1956 ( -1483,  5394)";" 3520 ( -2669,  9708)";"40%"
"2015-02-06";"86";" 8913 ( -1334,  19160)";"161 ( -166,  489)";" 45842 ( -12758, 104442)";" 847 ( -1001,  2696)";" 9757 ( -11635,  31150)";" 6436 ( -6702,  19574)";"1228 ( -1098,  3553)";" 1916 ( -1420,  5252)";" 3449 ( -2555,  9453)";"40%"
"2015-02-05";"85";" 8752 ( -1170,  18674)";"158 ( -160,  476)";" 44995 ( -11770, 101760)";" 830 (  -964,  2624)";" 9558 ( -11201,  30317)";" 6306 ( -6441,  19052)";"1203 ( -1053,  3459)";" 1877 ( -1359,  5113)";" 3379 ( -2446,  9204)";"40%"
"2015-02-04";"84";" 8594 ( -1013,  18200)";"155 ( -154,  463)";" 44165 ( -10819,  99150)";" 813 (  -928,  2553)";" 9362 ( -10781,  29505)";" 6178 ( -6188,  18544)";"1179 ( -1009,  3367)";" 1839 ( -1300,  4979)";" 3311 ( -2340,  8962)";"40%"
