"Date";"Days from today";"Cases (reported)";"New daily cases (reported)";"Cases (total)";"New daily cases (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2015-03-04";"112";" 96138 (-12528, 204805)";"2234 ( -916,  5384)";" 516377 ( -92290, 1125045)";"11771 (-5023, 28564)";"135509 (-57854, 328872)";" 89160 (-36666, 214987)";"16807 ( -6464, 40078)";"26492 (-5498,  58482)";" 47685 ( -9897, 105268)";"40%"
"2015-03-03";"111";" 93905 (-11614, 199423)";"2188 ( -892,  5267)";" 504607 ( -87278, 1096492)";"11540 (-4917, 27997)";"132866 (-56659, 322390)";" 87318 (-35717, 210352)";"16443 ( -6264, 39151)";"25940 (-5338,  57218)";" 46692 ( -9608, 102993)";"40%"
"2015-03-02";"110";" 91717 (-10724, 194158)";"2142 ( -868,  5152)";" 493067 ( -82371, 1068505)";"11312 (-4810, 27433)";"130250 (-55446, 315945)";" 85499 (-34767, 205765)";"16086 ( -6066, 38237)";"25396 (-5176,  55968)";" 45713 ( -9317, 100743)";"40%"
"2015-03-01";"109";" 89575 ( -9858, 189008)";"2097 ( -844,  5038)";" 481755 ( -77572, 1041082)";"11086 (-4701, 26873)";"127662 (-54216, 309539)";" 83706 (-33816, 201228)";"15734 ( -5869, 37336)";"24860 (-5013,  54733)";" 44748 ( -9023,  98519)";"40%"
"2015-02-28";"108";" 87478 ( -9017, 183973)";"2052 ( -820,  4925)";" 470669 ( -72881, 1014220)";"10863 (-4592, 26317)";"125103 (-52973, 303179)";" 81938 (-32867, 196744)";"15388 ( -5674, 36449)";"24331 (-4849,  53512)";" 43797 ( -8728,  96321)";"40%"
"2015-02-27";"107";" 85426 ( -8199, 179051)";"2009 ( -796,  4813)";" 459806 ( -68300,  987913)";"10642 (-4481, 25766)";"122574 (-51718, 296867)";" 80196 (-31921, 192313)";"15047 ( -5482, 35576)";"23811 (-4684,  52306)";" 42860 ( -8432,  94151)";"40%"
"2015-02-26";"106";" 83417 ( -7406, 174240)";"1965 ( -772,  4703)";" 449164 ( -63829,  962157)";"10425 (-4370, 25219)";"120076 (-50455, 290607)";" 78480 (-30979, 187939)";"14713 ( -5292, 34717)";"23298 (-4520,  51116)";" 41937 ( -8135,  92009)";"40%"
"2015-02-25";"105";" 81452 ( -6636, 169540)";"1923 ( -749,  4595)";" 438740 ( -59470,  936949)";"10210 (-4259, 24678)";"117609 (-49185, 284404)";" 76790 (-30042, 183622)";"14384 ( -5104, 33873)";"22794 (-4355,  49942)";" 41028 ( -7839,  89896)";"40%"
"2015-02-24";"104";" 79529 ( -5890, 164947)";"1881 ( -725,  4488)";" 428530 ( -55223,  912282)";" 9997 (-4147, 24142)";"115175 (-47911, 278261)";" 75126 (-29111, 179364)";"14061 ( -4919, 33042)";"22297 (-4191,  48785)";" 40135 ( -7544,  87813)";"40%"
"2015-02-23";"103";" 77648 ( -5167, 160462)";"1840 ( -702,  4382)";" 418532 ( -51087,  888152)";" 9788 (-4035, 23611)";"112773 (-46635, 272181)";" 73489 (-28188, 175167)";"13744 ( -4737, 32226)";"21808 (-4027,  47644)";" 39255 ( -7249,  85760)";"40%"
