"Date";"Days from today";"Cases (reported/treated)";"New cases/day (reported/treated)";"Cases (total)";"New cases/day (total)";"Incubation period";"Infectious and unreported";"Undergoing treatment";"CDC 25% ETU target";"CDC 45% reduced transmission target";"Reporting quotient"
"2014-10-18";"-4";" 3755 ( 3602,  3909)";"93";" 23844 ( 22197,  25491)";"739";" 8555 ( 6985, 10126)";" 5399 ( 4585,  6213)";" 710 ( 627,  793)";"1527 (1323,  1732)";" 2749 ( 2381,  3117)";"31%"
"2014-10-17";"-5";" 3662 ( 3520,  3804)";"91";" 23105 ( 21585,  24626)";"715";" 8286 ( 6802,  9769)";" 5223 ( 4459,  5987)";" 691 ( 613,  768)";"1478 (1286,  1670)";" 2661 ( 2316,  3007)";"31%"
"2014-10-16";"-6";" 3571 ( 3439,  3702)";"89";" 22390 ( 20988,  23792)";"693";" 8024 ( 6623,  9425)";" 5052 ( 4336,  5768)";" 672 ( 599,  744)";"1431 (1251,  1611)";" 2576 ( 2252,  2900)";"32%"
"2014-10-15";"-7";" 3482 ( 3360,  3604)";"86";" 21697 ( 20407,  22988)";"671";" 7770 ( 6449,  9091)";" 4886 ( 4216,  5557)";" 654 ( 586,  721)";"1385 (1216,  1553)";" 2493 ( 2190,  2796)";"32%"
"2014-10-14";"-8";" 3396 ( 3283,  3509)";"84";" 21027 ( 19840,  22213)";"649";" 7524 ( 6278,  8769)";" 4726 ( 4099,  5353)";" 636 ( 573,  699)";"1340 (1183,  1498)";" 2413 ( 2129,  2696)";"32%"
"2014-10-13";"-9";" 3312 ( 3206,  3417)";"82";" 20377 ( 19287,  21468)";"629";" 7285 ( 6112,  8458)";" 4571 ( 3985,  5157)";" 618 ( 560,  677)";"1297 (1150,  1445)";" 2335 ( 2070,  2600)";"32%"
"2014-10-12";"-10";" 3230 ( 3131,  3329)";"80";" 19748 ( 18747,  20750)";"609";" 7053 ( 5950,  8157)";" 4420 ( 3873,  4967)";" 601 ( 547,  656)";"1255 (1118,  1393)";" 2260 ( 2012,  2507)";"32%"
"2014-10-11";"-11";" 3150 ( 3057,  3243)";"78";" 19140 ( 18221,  20058)";"589";" 6828 ( 5791,  7866)";" 4275 ( 3765,  4784)";" 585 ( 534,  636)";"1215 (1087,  1343)";" 2187 ( 1956,  2417)";"32%"
"2014-10-10";"-12";" 3073 ( 2985,  3161)";"76";" 18550 ( 17707,  19393)";"571";" 6611 ( 5637,  7585)";" 4133 ( 3659,  4608)";" 569 ( 522,  616)";"1176 (1056,  1295)";" 2116 ( 1902,  2331)";"33%"
"2014-10-09";"-13";" 2997 ( 2913,  3081)";"74";" 17980 ( 17206,  18753)";"552";" 6399 ( 5486,  7313)";" 3997 ( 3556,  4438)";" 553 ( 510,  597)";"1138 (1027,  1248)";" 2048 ( 1848,  2247)";"33%"
